"","Dataset","DefectNum","ModuleNum","ImbLevel","ImbGroup","Metrics","Classifier","ImbLearner","ImbLearnerType","MCC","dset","bMCC","dMCC"
"392","jedit-4.3",11,492,43.7272727272727,"M&H IR","CK","C4.5","Y","OBst",0.0346,"jedit-4.3",0,0.0346
"393","log4j-1.0",34,135,2.97058823529412,"Low IR","CK","C4.5","Y","OBst",0.3629,"log4j-1.0",0.4226,-0.0597
"394","poi-2.0",37,314,7.48648648648649,"M&H IR","CK","C4.5","Y","OBst",0.281,"poi-2.0",0.0231,0.2579
"395","synapse-1.0",16,157,8.8125,"M&H IR","CK","C4.5","Y","OBst",0.1091,"synapse-1.0",0.0136,0.0955
"396","synapse-1.1",60,222,2.7,"Low IR","CK","C4.5","Y","OBst",0.322,"synapse-1.1",0.3822,-0.0602
"397","synapse-1.2",86,256,1.97674418604651,"Low IR","CK","C4.5","Y","OBst",0.33,"synapse-1.2",0.462,-0.132
"398","velocity-1.6",78,229,1.93589743589744,"Low IR","CK","C4.5","Y","OBst",0.2804,"velocity-1.6",0.2073,0.0731
"399","xerces-1.2",71,440,5.19718309859155,"M&H IR","CK","C4.5","Y","OBst",0.2825,"xerces-1.2",-0.0046,0.2871
"400","xerces-1.3",69,453,5.56521739130435,"M&H IR","CK","C4.5","Y","OBst",0.3527,"xerces-1.3",0.3433,0.00940000000000002
"401","Eclipse_JDT_Core",206,997,3.83980582524272,"Low IR","CK","C4.5","Y","OBst",0.3629,"Eclipse_JDT_Core",0.4041,-0.0412
"402","Eclipse_PDE_UI",209,1497,6.16267942583732,"M&H IR","CK","C4.5","Y","OBst",0.1837,"Eclipse_PDE_UI",0.0751,0.1086
"403","Equinox_Framework",129,324,1.51162790697674,"Low IR","CK","C4.5","Y","OBst",0.3497,"Equinox_Framework",0.3526,-0.00290000000000001
"404","Lucene",64,691,9.796875,"M&H IR","CK","C4.5","Y","OBst",0.1224,"Lucene",0.0029,0.1195
"405","Mylyn",245,1862,6.6,"M&H IR","CK","C4.5","Y","OBst",0.1848,"Mylyn",0.0139,0.1709
"406","ant-1.3",20,125,5.25,"M&H IR","CK","C4.5","Y","UOBst",0.2521,"ant-1.3",-0.0098,0.2619
"407","ant-1.4",40,178,3.45,"Low IR","CK","C4.5","Y","UOBst",0.099,"ant-1.4",0,0.099
"408","ant-1.5",32,293,8.15625,"M&H IR","CK","C4.5","Y","UOBst",0.2898,"ant-1.5",0.3255,-0.0357
"409","ant-1.6",92,351,2.81521739130435,"Low IR","CK","C4.5","Y","UOBst",0.3915,"ant-1.6",0.4712,-0.0797
"410","camel-1.0",13,339,25.0769230769231,"M&H IR","CK","C4.5","Y","UOBst",-0.0219,"camel-1.0",0,-0.0219
"411","camel-1.2",216,608,1.81481481481481,"Low IR","CK","C4.5","Y","UOBst",0.0869,"camel-1.2",0.0254,0.0615
"412","camel-1.4",145,872,5.01379310344828,"M&H IR","CK","C4.5","Y","UOBst",0.1246,"camel-1.4",0.0968,0.0278
"413","camel-1.6",188,965,4.13297872340426,"M&H IR","CK","C4.5","Y","UOBst",0.1326,"camel-1.6",0.105,0.0276
"414","ivy-2.0",40,352,7.8,"M&H IR","CK","C4.5","Y","UOBst",0.1812,"ivy-2.0",0.0938,0.0874
"415","jedit-3.2",90,272,2.02222222222222,"Low IR","CK","C4.5","Y","UOBst",0.4045,"jedit-3.2",0.4465,-0.042
"416","jedit-4.0",75,306,3.08,"Low IR","CK","C4.5","Y","UOBst",0.3493,"jedit-4.0",0.3875,-0.0382
