Dataset,DefectNum,ModuleNum,DefectRate,ImbLevel,Metrics,Classifier,ImbLearner,ImbLearnerType,AUC,MCC
ant-1.4,40,178,0.224719101,3.45,CK,C4.5,Y,OBag,0.6290 ,0.1366 
ant-1.4,40,178,0.224719101,3.45,CK,IBk,Y,OBag,0.6064 ,0.1344 
ant-1.4,40,178,0.224719101,3.45,CK,LR,Y,OBag,0.5310 ,0.1004 
ant-1.4,40,178,0.224719101,3.45,CK,NB,Y,OBag,0.6124 ,0.1918 
ant-1.4,40,178,0.224719101,3.45,CK,RF,Y,OBag,0.6091 ,0.1195 
ant-1.4,40,178,0.224719101,3.45,CK,Ripper,Y,OBag,0.6145 ,0.1157 
ant-1.4,40,178,0.224719101,3.45,CK,SVM,Y,OBag,0.5770 ,0.0822 
ant-1.4,40,178,0.224719101,3.45,CK,C4.5,Y,OBst,0.5509 ,0.0388 
ant-1.4,40,178,0.224719101,3.45,CK,IBk,Y,OBst,0.5869 ,0.0714 
ant-1.4,40,178,0.224719101,3.45,CK,LR,Y,OBst,0.4643 ,-0.0612 
ant-1.4,40,178,0.224719101,3.45,CK,NB,Y,OBst,0.6018 ,0.1387 
ant-1.4,40,178,0.224719101,3.45,CK,RF,Y,OBst,0.5897 ,0.1399 
ant-1.4,40,178,0.224719101,3.45,CK,Ripper,Y,OBst,0.5709 ,0.0719 
ant-1.4,40,178,0.224719101,3.45,CK,SVM,Y,OBst,0.5271 ,0.0220 
ant-1.4,40,178,0.224719101,3.45,CK,C4.5,Y,OS,0.6056 ,0.1420 
ant-1.4,40,178,0.224719101,3.45,CK,IBk,Y,OS,0.5778 ,0.1299 
ant-1.4,40,178,0.224719101,3.45,CK,LR,Y,OS,0.4564 ,-0.0050 
ant-1.4,40,178,0.224719101,3.45,CK,NB,Y,OS,0.6031 ,0.1753 
ant-1.4,40,178,0.224719101,3.45,CK,RF,Y,OS,0.5747 ,0.1109 
ant-1.4,40,178,0.224719101,3.45,CK,Ripper,Y,OS,0.5682 ,0.1110 
ant-1.4,40,178,0.224719101,3.45,CK,SVM,Y,OS,0.5227 ,0.0361 
ant-1.4,40,178,0.224719101,3.45,CK,C4.5,Y,SBag,0.6112 ,0.0767 
ant-1.4,40,178,0.224719101,3.45,CK,IBk,Y,SBag,0.6253 ,0.1144 
ant-1.4,40,178,0.224719101,3.45,CK,LR,Y,SBag,0.5137 ,0.0666 
ant-1.4,40,178,0.224719101,3.45,CK,NB,Y,SBag,0.6022 ,0.0919 
ant-1.4,40,178,0.224719101,3.45,CK,RF,Y,SBag,0.6043 ,0.0741 
ant-1.4,40,178,0.224719101,3.45,CK,Ripper,Y,SBag,0.5857 ,0.0488 
ant-1.4,40,178,0.224719101,3.45,CK,SVM,Y,SBag,0.5918 ,0.1351 
ant-1.4,40,178,0.224719101,3.45,CK,C4.5,Y,SBst,0.5500 ,0.1152 
ant-1.4,40,178,0.224719101,3.45,CK,IBk,Y,SBst,0.5984 ,0.0803 
ant-1.4,40,178,0.224719101,3.45,CK,LR,Y,SBst,0.5333 ,0.1157 
ant-1.4,40,178,0.224719101,3.45,CK,NB,Y,SBst,0.5043 ,-0.0280 
ant-1.4,40,178,0.224719101,3.45,CK,RF,Y,SBst,0.5824 ,0.0807 
