"Dataset","DefectNum","ModuleNum","DefectRate","ImbLevel","Metrics","Classifier","ImbLearner","ImbLearnerType","AUC","MCC","ImbGroup","dset","bMCC","dMCC"
"camel-1.4",145,872,0.166284404,5.013793103,"CK","C4.5","Y","UOS",0.5974,0.1505,"M&H IR","camel-1.4",0.0968,0.0537
"camel-1.6",188,965,0.194818653,4.132978723,"CK","C4.5","Y","UOS",0.5857,0.1255,"M&H IR","camel-1.6",0.105,0.0205
"Eclipse_JDT_Core",206,997,0.20661986,3.839805825,"CK","C4.5","Y","UOS",0.6873,0.3341,"Low IR","Eclipse_JDT_Core",0.4041,-0.07
"Eclipse_PDE_UI",209,1497,0.139612558,6.162679426,"CK","C4.5","Y","UOS",0.6108,0.1628,"M&H IR","Eclipse_PDE_UI",0.0751,0.0877
"Equinox_Framework",129,324,0.398148148,1.511627907,"CK","C4.5","Y","UOS",0.706,0.3819,"Low IR","Equinox_Framework",0.3526,0.0293
"ivy-2.0",40,352,0.113636364,7.8,"CK","C4.5","Y","UOS",0.6552,0.2345,"M&H IR","ivy-2.0",0.0938,0.1407
"jedit-3.2",90,272,0.330882353,2.022222222,"CK","C4.5","Y","UOS",0.7185,0.4105,"Low IR","jedit-3.2",0.4465,-0.036
"jedit-4.0",75,306,0.245098039,3.08,"CK","C4.5","Y","UOS",0.6806,0.3486,"Low IR","jedit-4.0",0.3875,-0.0389
"jedit-4.1",79,312,0.253205128,2.949367089,"CK","C4.5","Y","UOS",0.6897,0.3379,"Low IR","jedit-4.1",0.4463,-0.1084
"jedit-4.2",48,367,0.130790191,6.645833333,"CK","C4.5","Y","UOS",0.7362,0.3487,"M&H IR","jedit-4.2",0.0516,0.2971
"jedit-4.3",11,492,0.022357724,43.72727273,"CK","C4.5","Y","UOS",0.7237,0.2465,"M&H IR","jedit-4.3",0,0.2465
"log4j-1.0",34,135,0.251851852,2.970588235,"CK","C4.5","Y","UOS",0.6868,0.3307,"Low IR","log4j-1.0",0.4226,-0.0919
"Lucene",64,691,0.092619392,9.796875,"CK","C4.5","Y","UOS",0.593,0.1247,"M&H IR","Lucene",0.0029,0.1218
"Mylyn",245,1862,0.131578947,6.6,"CK","C4.5","Y","UOS",0.6366,0.1919,"M&H IR","Mylyn",0.0139,0.178
"poi-2.0",37,314,0.117834395,7.486486486,"CK","C4.5","Y","UOS",0.6109,0.1874,"M&H IR","poi-2.0",0.0231,0.1643
"synapse-1.0",16,157,0.101910828,8.8125,"CK","C4.5","Y","UOS",0.6986,0.2511,"M&H IR","synapse-1.0",0.0136,0.2375
"synapse-1.1",60,222,0.27027027,2.7,"CK","C4.5","Y","UOS",0.6485,0.2975,"Low IR","synapse-1.1",0.3822,-0.0847
"synapse-1.2",86,256,0.3359375,1.976744186,"CK","C4.5","Y","UOS",0.6683,0.3296,"Low IR","synapse-1.2",0.462,-0.1324
"velocity-1.6",78,229,0.340611354,1.935897436,"CK","C4.5","Y","UOS",0.6225,0.2284,"Low IR","velocity-1.6",0.2073,0.0211
"xerces-1.2",71,440,0.161363636,5.197183099,"CK","C4.5","Y","UOS",0.6977,0.2864,"M&H IR","xerces-1.2",-0.0046,0.291
"xerces-1.3",69,453,0.152317881,5.565217391,"CK","C4.5","Y","UOS",0.6716,0.3091,"M&H IR","xerces-1.3",0.3433,-0.0342
"ant-1.3",20,125,0.16,5.25,"CK","C4.5","Y","SMOTE",0.6755,0.3128,"M&H IR","ant-1.3",-0.0098,0.3226
