Dataset,DefectNum,ModuleNum,DefectRate,ImbLevel,ImbGroup,Metrics,Classifier,ImbLearner,ImbLearnerType,Gmean,AUC,Bal,F1,Recall,MCC,SLoe
ant-1.4,40,178,0.2247191011235955,3.45,4~2,CK,C4.5,Y,UOS,0.4546,0.5857,0.4764,0.3644,0.725,0.1536,0.4992
ant-1.5,32,293,0.10921501706484642,8.15625,16~8,CK,C4.5,Y,UOS,0.6291,0.6767,0.6404,0.3618,0.5608,0.2841,0.4437
ant-1.6,92,351,0.2621082621082621,2.8152173913043477,4~2,CK,C4.5,Y,UOS,0.7269,0.7276,0.7165,0.5991,0.7027,0.4444,0.5679
camel-1.0,13,339,0.038348082595870206,25.076923076923077,64~16,CK,C4.5,Y,UOS,0.1756,0.5178,0.3951,0.0668,0.175,0.0173,0.0404
camel-1.2,216,608,0.35526315789473684,1.8148148148148149,2~1,CK,C4.5,Y,UOS,0.3844,0.5238,0.4273,0.3701,0.4945,0.058,0.1783
camel-1.4,145,872,0.16628440366972477,5.0137931034482754,8~4,CK,C4.5,Y,UOS,0.5753,0.5974,0.5733,0.3253,0.492,0.1505,0.2391
camel-1.6,188,965,0.19481865284974093,4.132978723404255,8~4,CK,C4.5,Y,UOS,0.5369,0.5857,0.539,0.3276,0.4803,0.1255,0.2013
ivy-2.0,40,352,0.11363636363636363,7.8,8~4,CK,C4.5,Y,UOS,0.6296,0.6552,0.6226,0.3287,0.5475,0.2345,0.3964
jedit-3.2,90,272,0.33088235294117646,2.022222222222222,4~2,CK,C4.5,Y,UOS,0.7007,0.7185,0.6874,0.6193,0.7389,0.4105,0.5621
jedit-4.0,75,306,0.24509803921568626,3.08,4~2,CK,C4.5,Y,UOS,0.6753,0.6806,0.6643,0.5205,0.6614,0.3486,0.4941
jedit-4.1,79,312,0.2532051282051282,2.949367088607595,4~2,CK,C4.5,Y,UOS,0.6618,0.6897,0.6516,0.5144,0.6195,0.3379,0.4608
jedit-4.2,48,367,0.1307901907356948,6.645833333333333,8~4,CK,C4.5,Y,UOS,0.7182,0.7362,0.7058,0.4308,0.6905,0.3487,0.5754
jedit-4.3,11,492,0.022357723577235773,43.72727272727273,64~16,CK,C4.5,Y,UOS,0.5327,0.7237,0.6475,0.2236,0.545,0.2465,0.504
log4j-1.0,34,135,0.2518518518518518,2.9705882352941178,4~2,CK,C4.5,Y,UOS,0.616,0.6868,0.6268,0.4942,0.5958,0.3307,0.4616
poi-2.0,37,314,0.1178343949044586,7.486486486486487,8~4,CK,C4.5,Y,UOS,0.5686,0.6109,0.5819,0.295,0.4958,0.1874,0.3224
synapse-1.0,16,157,0.10191082802547771,8.8125,16~8,CK,C4.5,Y,UOS,0.5674,0.6986,0.6166,0.3146,0.595,0.2511,0.4783
synapse-1.1,60,222,0.2702702702702703,2.7,4~2,CK,C4.5,Y,UOS,0.6175,0.6485,0.6188,0.4897,0.57,0.2975,0.4025
synapse-1.2,86,256,0.3359375,1.9767441860465116,2~1,CK,C4.5,Y,UOS,0.64,0.6683,0.6279,0.5605,0.6456,0.3296,0.4589
velocity-1.6,78,229,0.3406113537117904,1.935897435897436,2~1,CK,C4.5,Y,UOS,0.5705,0.6225,0.5624,0.5275,0.7,0.2284,0.4089
xerces-1.2,71,440,0.16136363636363638,5.197183098591549,8~4,CK,C4.5,Y,UOS,0.6743,0.6977,0.6645,0.4147,0.702,0.2864,0.5171
xerces-1.3,69,453,0.152317880794702,5.565217391304348,8~4,CK,C4.5,Y,UOS,0.6644,0.6716,0.6585,0.4243,0.586,0.3091,0.4427
Eclipse_JDT_Core,206,997,0.20661985957873621,3.8398058252427183,4~2,CK,C4.5,Y,UOS,0.6868,0.6873,0.6815,0.4894,0.6419,0.3341,0.4655
Eclipse_PDE_UI,209,1497,0.1396125584502338,6.162679425837321,8~4,CK,C4.5,Y,UOS,0.5857,0.6108,0.5799,0.3059,0.4807,0.1628,0.2648
Equinox_Framework,129,324,0.39814814814814814,1.5116279069767442,2~1,CK,C4.5,Y,UOS,0.6629,0.706,0.6447,0.6303,0.7192,0.3819,0.5552
Lucene,64,691,0.09261939218523878,9.796875,16~8,CK,C4.5,Y,UOS,0.5417,0.593,0.5461,0.2256,0.4052,0.1247,0.218
Mylyn,245,1862,0.13157894736842105,6.6,8~4,CK,C4.5,Y,UOS,0.62,0.6366,0.6158,0.3184,0.5531,0.1919,0.3451
ant-1.3,20,125,0.16,5.25,8~4,CK,C4.5,Y,SMOTE,0.5853,0.6755,0.6151,0.4138,0.565,0.3128,0.4756
ant-1.4,40,178,0.2247191011235955,3.45,4~2,CK,C4.5,Y,SMOTE,0.4278,0.5755,0.4786,0.2861,0.3875,0.0551,0.0928
ant-1.5,32,293,0.10921501706484642,8.15625,16~8,CK,C4.5,Y,SMOTE,0.6502,0.6862,0.6501,0.4274,0.5392,0.3588,0.4709
ant-1.6,92,351,0.2621082621082621,2.8152173913043477,4~2,CK,C4.5,Y,SMOTE,0.7383,0.7543,0.73,0.6112,0.7072,0.4625,0.5757
